dataset,model,repetition,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc
BoT-IoT,DT,1,0,0.99993,0.8461388442035926,0.8749799975997119,0.8461388442035926,0.8599824978122266,0.8461388442035925
BoT-IoT,XGBoost,1,1,0.99996,0.8461538461538461,0.999979998199838,0.8461538461538461,0.9090809079907881,0.9999846133843553
BoT-IoT,RF,1,1,0.99996,0.8461538461538461,0.999979998199838,0.8461538461538461,0.9090809079907881,0.9999861520459198
BoT-IoT,DT,1,1,0.99991,0.8076723050919696,0.8333083303329732,0.8076723050919696,0.8199774971871484,0.8076723050919696
BoT-IoT,XGBoost,1,2,0.99997,0.9285664278713306,0.9615284602382925,0.9285664278713306,0.9444369434318077,0.9999885698283474
BoT-IoT,RF,1,2,0.99994,0.8214235707284734,0.94997499749975,0.8214235707284734,0.8749849981997839,0.9999742821137817
BoT-IoT,DT,1,2,0.99991,0.8214085686281793,0.8461288429034236,0.8214085686281793,0.8333108302954232,0.8214085686281793
BoT-IoT,XGBoost,1,3,1.0,1.0,1.0,1.0,1.0,1.0
BoT-IoT,RF,1,3,0.99995,0.8571378564427592,0.9545254523452125,0.8571378564427592,0.8999874984373046,0.9999935705284454
BoT-IoT,DT,1,3,0.99996,0.9285614271712326,0.9285614271712326,0.9285614271712326,0.9285614271712326,0.9285614271712326
BoT-IoT,XGBoost,1,4,0.999989999899999,0.9615384615384616,0.9999949993499155,0.9615384615384616,0.9799974996624544,0.9999992306615234
BoT-IoT,RF,1,4,0.999969999699997,0.8846153846153846,0.9999849983498185,0.8846153846153846,0.934775107758035,0.9999976919845701
BoT-IoT,DT,1,4,0.999959999599996,0.9230669216767271,0.9230669216767271,0.9230669216767271,0.9230669216767271,0.923066921676727
ToN-IoT,XGBoost,0,0,0.9985311189556729,0.997796386103263,0.9981400221413879,0.997796386103263,0.9979680673514879,0.9999849824583191
ToN-IoT,RF,0,0,0.9990760264398588,0.9983602874972834,0.9990836481090588,0.9983602874972834,0.9987213634015588,0.9999762100655095
ToN-IoT,DT,0,0,0.9983415859176953,0.9977756263777205,0.9976383969002058,0.9977756263777205,0.9977069897909139,0.9977756263777205
ToN-IoT,XGBoost,0,1,0.9986969603639034,0.9978705749945667,0.9985242517441946,0.9978705749945667,0.9981969190702612,0.9999837514359341
ToN-IoT,RF,0,1,0.9989338766613756,0.9979568583315223,0.9990942055311901,0.9979568583315223,0.9985240382632337,0.9999911919028843
ToN-IoT,DT,0,1,0.9982705110284537,0.9976945791548946,0.997523089777928,0.9976945791548946,0.9976088003366709,0.9976945791548946
ToN-IoT,XGBoost,0,2,0.9988391101423867,0.9981705749945667,0.9986177906767595,0.9981705749945667,0.998393951489927,0.9999903163712006
ToN-IoT,RF,0,2,0.9991707929588476,0.9984223819429352,0.9992840262846108,0.9984223819429352,0.9988523470703228,0.999996736936881
ToN-IoT,DT,0,2,0.9988154185126394,0.9982240041603279,0.9984990863846057,0.9982240041603279,0.9983614577051135,0.9982240041603277
ToN-IoT,XGBoost,0,3,0.9990049279757391,0.998555042225534,0.9986926100379305,0.998555042225534,0.9986238042392708,0.9999879983233979
ToN-IoT,RF,0,3,0.9992892342683851,0.9986034277198211,0.9994308007124768,0.9986034277198211,0.999016324244587,0.9999928666790859
ToN-IoT,DT,0,3,0.9985547763457164,0.9981221808246399,0.9978819475291243,0.9981221808246399,0.9980019972562151,0.9981221808246398
ToN-IoT,XGBoost,0,4,0.9985073919636088,0.9974016145057129,0.9984685814899914,0.9974016145057129,0.9979337812391462,0.9999725130402384
ToN-IoT,RF,0,4,0.9989575435936315,0.9981102831594635,0.9990059219429348,0.9981102831594635,0.9985571758788737,0.9999386518877298
ToN-IoT,DT,0,4,0.9979861637604246,0.9971635121708893,0.9972663883235631,0.9971635121708893,0.9972149379587273,0.9971635121708893
